stat,value,n
mean_cate,-0.02924297666369672,7653
std_cate,0.032395590284118515,7653
p10_cate,-0.07058404381510958,7653
p90_cate,0.005080332811798995,7653
mean_cate|male=0.0,-0.032275366775216814,3819
mean_cate|male=1.0,-0.02616000003199568,3834
mean_cate|urban=0.0,-0.03624265561606055,2256
mean_cate|urban=1.0,-0.026277789226824114,5397
mean_cate|indig_head=0.0,-0.03148914432837708,4770
mean_cate|indig_head=1.0,-0.025499374776413817,2883
mean_cate|head_male=0.0,-0.030443753618019077,1726
mean_cate|head_male=1.0,-0.028889492391205165,5927
mean_cate|het_time=0.0,-0.030938036998215603,6392
mean_cate|het_time=1.0,-0.02058895354490528,1261
mean_cate|het_dist=0.0,-0.03167957631392078,6395
mean_cate|het_dist=1.0,-0.016625146920519425,1258
mean_cate|mtepsoffices=0.0,-0.03429396038218095,2889
mean_cate|mtepsoffices=1.0,-0.026176257388971853,4764
