table,result,paper,python,abs_diff,status
1C,Table1C risks_a_all,0.294,0.2938815677927441,0.00011843220725588077,match
1C,Table1C risks_working,0.545,0.544228718275623,0.0007712817243770154,near
1C,Table1C risks_a_10_11,0.246,0.24551730069211172,0.00048269930788827353,match
1C,Table1C risks_a_12_13,0.314,0.3127928855607483,0.0012071144392516997,near
1C,Table1C risks_a_14_15,0.346,0.34608671633973814,8.671633973816872e-05,match
1C,Table1C injury_a_all,0.178,0.17768564605702747,0.00031435394297252284,match
1C,Table1C injury_working,0.324,0.32438064853576654,0.0003806485357665257,match
1C,Table1C injury_a_10_11,0.163,0.16237601713080319,0.0006239828691968208,near
1C,Table1C injury_a_12_13,0.184,0.18348770436215145,0.0005122956378485477,near
1C,Table1C injury_a_14_15,0.194,0.1945593343846241,0.000559334384624105,near
1C,Table1C n_all,3477.0,3477.0,0.0,match
1C,Table1C n_work,1749.0,1749.0,0.0,match
1C,Table1C n_10_11,1343.0,1343.0,0.0,match
1C,Table1C n_12_13,1389.0,1389.0,0.0,match
1C,Table1C n_14_15,745.0,745.0,0.0,match
2B,Table2B risks_ext,0.679,0.6793955773297978,0.0003955773297977805,match
2B,Table2B risks_fam,0.537,0.5361926074430796,0.0008073925569204166,near
2B,Table2B injury_ext,0.447,0.4471221900142572,0.00012219001425717302,match
2B,Table2B injury_fam,0.314,0.3142188051669652,0.00021880516696520802,match
2B,Table2B n_ext,186.0,186.0,0.0,match
2B,Table2B n_fam,1741.0,1741.0,0.0,match
5CL,Table5 risks_a_all xx,-0.008,-0.007491718729521607,0.0005082812704783933,near
5CL,Table5 risks_a_all xx_se,0.017,0.016601685492820824,0.00039831450717917743,match
5CL,Table5 risks_a_all n,8372.0,8363.0,9.0,near
5CL,Table5 risks_a_all mean,0.281,0.2812711291413117,0.00027112914131166566,match
5CL,Table5 risks_a_work xx,-0.038,-0.037286896345653756,0.0007131036543462435,near
5CL,Table5 risks_a_work xx_se,0.035,0.0347929283537512,0.00020707164624880064,match
5CL,Table5 risks_a_work n,2914.0,2914.0,0.0,match
5CL,Table5 risks_a_work mean,0.536,0.5359596885020614,4.031149793859434e-05,match
5CL,Table5 injury_a_all xx,-0.015,-0.014805982202874594,0.00019401779712540507,match
5CL,Table5 injury_a_all xx_se,0.014,0.01379726629996836,0.00020273370003164037,match
5CL,Table5 injury_a_all n,8411.0,8401.0,10.0,near
5CL,Table5 injury_a_all mean,0.188,0.1880920162381597,9.201623815968674e-05,match
5CL,Table5 injury_a_work xx,-0.015,-0.0159374225385531,0.0009374225385531017,near
5CL,Table5 injury_a_work xx_se,0.029,0.029169868045024184,0.0001698680450241824,match
5CL,Table5 injury_a_work n,3208.0,3208.0,0.0,match
5CL,Table5 injury_a_work mean,0.327,0.3268416596104996,0.00015834038950041096,match
