table,result,paper,python,abs_diff,status
1,Table1 n,7410.0,7410.0,0.0,match
1,Table1 n_work,1130.0,1130.0,0.0,match
1,Table1 n_10_11,2698.0,2698.0,0.0,match
1,Table1 n_12_13,3108.0,3108.0,0.0,match
1,Table1 n_14_15,1604.0,1604.0,0.0,match
1,Table1 works all,0.152,0.1524966261808367,0.0004966261808367067,match
1,Table1 male all,0.501,0.5014844804318489,0.00048448043184889933,match
1,Table1 head_schooling all,8.603,8.60310391363023,0.0001039136302303234,match
1,Table1 hours_week_a all,3.325,3.325067476383266,6.747638326576322e-05,match
1,Table1 not_forbidden_a all,0.146,0.14601889338731444,1.889338731445034e-05,match
2,Table2 firm_size_ext,4.0,4.0,0.0,match
2,Table2 firm_size_fam,4.0,4.0,0.0,match
2,Table2 wage_ext,6.291,6.29077542983258,0.00022457016742016833,match
2,Table2 wage_fam,18.557,18.557310376009454,0.000310376009455382,match
2,Table2 taxes_ext,0.098,0.09803921568627451,3.921568627450467e-05,match
2,Table2 taxes_fam,0.026,0.025547445255474453,0.0004525547445255462,match
2,Table2 fixed_ext,0.64,0.64,0.0,match
2,Table2 fixed_fam,0.899,0.8987226277372263,0.00027737226277368965,match
2,Table2 agri_ext,0.144,0.144,0.0,match
2,Table2 agri_fam,0.772,0.7718978102189781,0.00010218978102194409,match
2,Table2 n_ext,113.0,113.0,0.0,match
2,Table2 n_fam,1094.0,1094.0,0.0,match
3,Table3 works xxw3,-0.039,-0.03935076080722177,0.00035076080722176717,match
3,Table3 works xxrw3,-0.0,-0.0004708839483968212,0.0004708839483968212,match
3,Table3 hours_week_a xxw3,-0.969,-0.9690538717319996,5.387173199966622e-05,match
3,Table3 hours_week_a xxrw3,0.508,0.5076689421170689,0.00033105788293108507,match
3,Table3 self_employed_a xxw3,-0.002,-0.0019416234173082981,5.837658269170192e-05,match
3,Table3 self_employed_a xxrw3,-0.0,-0.0004482429498242821,0.0004482429498242821,match
3,Table3 wrk_forother_a xxw3,-0.037,-0.03740913738991347,0.0004091373899134734,match
3,Table3 wrk_forother_a xxrw3,-0.0,-2.2640998572544084e-05,2.2640998572544084e-05,match
3,Table3 forbidden_a xxw3,0.004,0.0036622104570680518,0.00033778954293194833,match
3,Table3 forbidden_a xxrw3,0.018,0.01825404597219319,0.0002540459721931919,match
3,Table3 not_forbidden_a xxw3,-0.043,-0.043012971264289816,1.2971264289819706e-05,match
3,Table3 not_forbidden_a xxrw3,-0.019,-0.018724929920590012,0.0002750700794099878,match
3,Table3 lf_participation xxw3,-0.04,-0.040306301907562944,0.00030630190756294334,match
3,Table3 lf_participation xxrw3,0.002,0.001771611380964347,0.00022838861903565297,match
3,Table3 N,11991.0,11991.0,0.0,match
4,Table4 het_time all near,-0.03,-0.03006533390426991,6.53339042699097e-05,match
4,Table4 het_time all far,0.002,0.0018434240835873694,0.00015657591641263062,match
4,Table4 het_time all N,7650.0,7650.0,0.0,match
4,Table4 het_time no_mteps near,-0.074,-0.07431294910965415,0.0003129491096541537,match
4,Table4 het_time no_mteps far,0.002,0.00178742566056371,0.00021257433943628994,match
4,Table4 het_time no_mteps N,2984.0,2984.0,0.0,match
4,Table4 het_dist all near,-0.037,-0.037005057020065256,5.057020065257767e-06,match
4,Table4 het_dist all far,0.009,0.00948576053366653,0.0004857605336665311,match
4,Table4 het_dist all N,7650.0,7650.0,0.0,match
4,Table4 het_dist no_mteps near,-0.103,-0.10254438082904435,0.00045561917095564286,match
4,Table4 het_dist no_mteps far,0.007,0.006603344396624189,0.0003966556033758112,match
4,Table4 het_dist no_mteps N,2984.0,2984.0,0.0,match
5,Table5 wage xxw3,0.103,0.09853868106975765,0.004461318930242347,near
5,Table5 wage xxrw3,-0.012,-0.011690820172365557,0.0003091798276344433,match
