moderator,sample,years,subgroup,effect,se,stars,n,mean_pre,diff_p
male,all,2012-2019,girls,-0.02754448710841368,0.02144798565516029,,11992,0.18027433050293926,0.5125507836300895
male,all,2012-2019,boys,-0.044041633947587526,0.02049657792635553,**,11992,0.18027433050293926,0.5125507836300895
urban,all,2012-2019,rural,-0.08591868180097917,0.02960941852396324,***,11992,0.18027433050293926,0.017546157748673814
urban,all,2012-2019,urban,-0.015906084922786445,0.016552709449239023,,11992,0.18027433050293926,0.017546157748673814
indig_head,all,2012-2019,nonindig_head,-0.03612663990133086,0.01782019748686561,**,11992,0.18027433050293926,0.9860453134012942
indig_head,all,2012-2019,indig_head,-0.03563979230254053,0.026458174704308748,,11992,0.18027433050293926,0.9860453134012942
het_time,all,2012-2016,near,-0.02708363506375876,0.020040273627370396,,7653,0.18027433050293926,0.5181785874625711
het_time,all,2012-2016,far,0.009150274427338134,0.04995860363523402,,7653,0.18027433050293926,0.5181785874625711
het_time,no_mteps_offices,2012-2016,near,-0.06784957095723794,0.045241534538780964,,2889,0.3244176013805004,0.3986855226257604
het_time,no_mteps_offices,2012-2016,far,-0.008354976390791927,0.052074689947355826,,2889,0.3244176013805004,0.3986855226257604
het_dist,all,2012-2016,near,-0.033598209296337334,0.02008377547105582,*,7653,0.18027433050293926,0.28505801046451407
het_dist,all,2012-2016,far,0.028613274361137593,0.052098793169177794,,7653,0.18027433050293926,0.28505801046451407
het_dist,no_mteps_offices,2012-2016,near,-0.09035407941470251,0.04258914461986594,**,2889,0.3244176013805004,0.11878025026858036
het_dist,no_mteps_offices,2012-2016,far,0.012744756245606004,0.05174131270442653,,2889,0.3244176013805004,0.11878025026858036
