outcome,label,term,coef,se,pvalue,stars,n,mean_pre,n_clusters
works,Any Work,xxw3,-0.03935076080722177,0.0166577390601267,0.0181613975903424,**,11991,0.18000653381247958,192
works,Any Work,xxrw3,-0.0004708839483968212,0.019334684123369982,0.9805699492150646,,11991,0.18000653381247958,192
hours_week_a,Hours Worked,xxw3,-0.9690538717319996,0.5263808340168069,0.06562524581369056,*,11991,4.396520744854623,192
hours_week_a,Hours Worked,xxrw3,0.5076689421170689,0.5625172020063316,0.3667939952853084,,11991,4.396520744854623,192
self_employed_a,Work for Self,xxw3,-0.0019416234173082981,0.003528976028409575,0.5821859336061908,,11991,0.004900359359686377,192
self_employed_a,Work for Self,xxrw3,-0.0004482429498242821,0.0048300871663882455,0.9260606646225058,,11991,0.004900359359686377,192
wrk_forother_a,Work for Others,xxw3,-0.03740913738991347,0.016633009805738494,0.024506765423253096,**,11991,0.1751061744527932,192
wrk_forother_a,Work for Others,xxrw3,-2.2640998572544084e-05,0.019484411914696072,0.9990728537655689,,11991,0.1751061744527932,192
forbidden_a,Prohibited Work,xxw3,0.0036622104570680518,0.006057486450226117,0.5454608090001412,,11991,0.011434171839268212,192
forbidden_a,Prohibited Work,xxrw3,0.01825404597219319,0.012393587162788721,0.14078819816702123,,11991,0.011434171839268212,192
not_forbidden_a,Allowed Work,xxw3,-0.043012971264289816,0.01463165908600256,0.0032850965860923274,***,11991,0.16857236197321138,192
not_forbidden_a,Allowed Work,xxrw3,-0.018724929920590012,0.018039108966825316,0.29926141418302044,,11991,0.16857236197321138,192
lf_participation,Labor Force Participation,xxw3,-0.040306301907562944,0.016527350849712883,0.014737605137870726,**,11991,0.18523358379614505,192
lf_participation,Labor Force Participation,xxrw3,0.001771611380964347,0.01899069751382377,0.9256744642950777,,11991,0.18523358379614505,192
