outcome,term,coef_py,coef_paper,delta_coef,se_py,se_paper,delta_se,n_py,n_paper,mean_pre_py,mean_pre_paper
works,xxw3,-0.03935076080722177,-0.039,-0.00035076080722176717,0.0166577390601267,0.017,-0.0003422609398733012,11991,11991,0.18000653381247958,0.18
works,xxrw3,-0.0004708839483968212,-0.0,-0.0004708839483968212,0.019334684123369982,0.019,0.00033468412336998266,11991,11991,0.18000653381247958,0.18
hours_week_a,xxw3,-0.9690538717319996,-0.969,-5.387173199966622e-05,0.5263808340168069,0.526,0.0003808340168068858,11991,11991,4.396520744854623,4.397
hours_week_a,xxrw3,0.5076689421170689,0.508,-0.00033105788293108507,0.5625172020063316,0.562,0.0005172020063315408,11991,11991,4.396520744854623,4.397
self_employed_a,xxw3,-0.0019416234173082981,-0.002,5.837658269170192e-05,0.003528976028409575,0.004,-0.00047102397159042497,11991,11991,0.004900359359686377,0.0049
self_employed_a,xxrw3,-0.0004482429498242821,-0.0,-0.0004482429498242821,0.0048300871663882455,0.005,-0.00016991283361175464,11991,11991,0.004900359359686377,0.0049
wrk_forother_a,xxw3,-0.03740913738991347,-0.037,-0.0004091373899134734,0.016633009805738494,0.017,-0.00036699019426150725,11991,11991,0.1751061744527932,0.175
wrk_forother_a,xxrw3,-2.2640998572544084e-05,-0.0,-2.2640998572544084e-05,0.019484411914696072,0.019,0.0004844119146960729,11991,11991,0.1751061744527932,0.175
forbidden_a,xxw3,0.0036622104570680518,0.004,-0.00033778954293194833,0.006057486450226117,0.006,5.748645022611663e-05,11991,11991,0.011434171839268212,0.0114
forbidden_a,xxrw3,0.01825404597219319,0.018,0.0002540459721931919,0.012393587162788721,0.012,0.0003935871627887208,11991,11991,0.011434171839268212,0.0114
not_forbidden_a,xxw3,-0.043012971264289816,-0.043,-1.2971264289819706e-05,0.01463165908600256,0.015,-0.0003683409139974402,11991,11991,0.16857236197321138,0.169
not_forbidden_a,xxrw3,-0.018724929920590012,-0.019,0.0002750700794099878,0.018039108966825316,0.018,3.9108966825317226e-05,11991,11991,0.16857236197321138,0.169
lf_participation,xxw3,-0.040306301907562944,-0.04,-0.00030630190756294334,0.016527350849712883,0.017,-0.00047264915028711815,11991,11991,0.18523358379614505,0.185
lf_participation,xxrw3,0.001771611380964347,0.002,-0.00022838861903565297,0.01899069751382377,0.019,-9.302486176230446e-06,11991,11991,0.18523358379614505,0.185
